audio_file,duration_s,transcript_fr,translation_en
remote_dataset/french_english_unprocessed_100/fr_0028.wav,2.50,c' est à droite ou à gauche,It's on the right or on the left.
remote_dataset/french_english_unprocessed_100/fr_0029.wav,3.25,croyez-vous qu' il y a un docteur ou une infirmière,Do you think there's a doctor or a nurse?
remote_dataset/french_english_unprocessed_100/fr_0030.wav,2.00,je vais tout de suite,I'm going right now.
remote_dataset/french_english_unprocessed_100/fr_0031.wav,2.00,ma voiture est en panne,My car's broken down.
remote_dataset/french_english_unprocessed_100/fr_0032.wav,2.25,à tout à l' heure monsieur,"I'll see you later, sir."
remote_dataset/french_english_unprocessed_100/fr_0033.wav,2.00,asseyez-vous s' il vous plaît,Please sit down.
remote_dataset/french_english_unprocessed_100/fr_0034.wav,2.00,après le repas alors,after the meal then
remote_dataset/french_english_unprocessed_100/fr_0035.wav,1.50,je dois me laver les mains,I have to wash my hands.
remote_dataset/french_english_unprocessed_100/fr_0036.wav,1.75,les toilettes sont au fond du couloir,the toilets are at the bottom of the hall
remote_dataset/french_english_unprocessed_100/fr_0037.wav,2.00,je vais tout de suite,I'm going right now.
remote_dataset/french_english_unprocessed_100/fr_0038.wav,2.25,les toilettes sont au fond du couloir,the toilets are at the bottom of the hall
remote_dataset/french_english_unprocessed_100/fr_0039.wav,6.42,a qui vous donnez  il l' écrit sur le sable  et à qui vous l' ôtez  il l' écrit sur l' acier,to whom you give he writes it on the sand and to whom you remove it he writes it on the steel
remote_dataset/french_english_unprocessed_100/fr_0040.wav,4.46,le plus difficile à écorcher  c' est la queue,the most difficult to peel is the tail
remote_dataset/french_english_unprocessed_100/fr_0041.wav,4.70,les eaux calmes sont les plus profondes,calm waters are the deepest
remote_dataset/french_english_unprocessed_100/fr_0042.wav,4.23,il ne faut pas porter de l' eau à la rivière,We must not carry water to the river.
remote_dataset/french_english_unprocessed_100/fr_0043.wav,4.09,fier comme un écossés,proud as a shell
remote_dataset/french_english_unprocessed_100/fr_0044.wav,3.25,a donner  donner  et à vendre  vendre,to give and for sale
remote_dataset/french_english_unprocessed_100/fr_0045.wav,3.86,il ne faut qu' une étincelle pour faire un grand incendie,All you need is a spark to make a big fire.
remote_dataset/french_english_unprocessed_100/fr_0046.wav,6.69,qui veut être riche  n' apprenne pas seulement comme on gagne  mais aussi comme on épargne,who wants to be rich not only learns how you win but also how you save
remote_dataset/french_english_unprocessed_100/fr_0047.wav,3.25,il faut faire vie qui dure,you have to make life that lasts
remote_dataset/french_english_unprocessed_100/fr_0048.wav,3.72,eau-de-vie  eau de mort,Life water death water
remote_dataset/french_english_unprocessed_100/fr_0049.wav,5.58,qui parle  sème  qui écoute  recueille,who speaks som who listens collects
remote_dataset/french_english_unprocessed_100/fr_0050.wav,5.11,qui écoute aux portes  entendra mal parler sur son compte,who listens to the doors will hear bad talk on his account
remote_dataset/french_english_unprocessed_100/fr_0051.wav,3.95,l' eau la plus claire peut faire de la boue,the clearest water can make mud
remote_dataset/french_english_unprocessed_100/fr_0052.wav,4.60,a dur âne  dur aiguillon,a hard ass stinging
remote_dataset/french_english_unprocessed_100/fr_0053.wav,5.16,a la porte où l' on donne les miches  les gueux y vont,at the door where we give the asses the heaps go there
remote_dataset/french_english_unprocessed_100/fr_0054.wav,4.42,si tu veux qu' on t' épargne  épargne aussi les autres,"If you want us to save you, we'll save you, too."
remote_dataset/french_english_unprocessed_100/fr_0055.wav,4.04,évêque d' or  crosse de bois  crosse d' or  évêque de bois,Bishop of gold lacrosse of wood lacrosse of gold bishop of wood
remote_dataset/french_english_unprocessed_100/fr_0056.wav,3.35,fol est qui se met en enquête,Fol is who's going into the investigation.
remote_dataset/french_english_unprocessed_100/fr_0057.wav,2.93,erreur n' est pas compte,error is not counted
remote_dataset/french_english_unprocessed_100/fr_0058.wav,3.63,ne réveillez pas le chat qui dort,Don't wake the sleeping cat
remote_dataset/french_english_unprocessed_100/fr_0059.wav,5.39,une chose bien donnée  n' est perdue ni égarée,a well-given thing is not lost or lost
remote_dataset/french_english_unprocessed_100/fr_0060.wav,6.37,il ne faut qu' une voie d' eau  pour submerger un vaisseau,It only takes one waterway to overwhelm a ship.
remote_dataset/french_english_unprocessed_100/fr_0061.wav,4.74,l' écurie use plus le cheval que la course,the stable uses the horse more than the race
remote_dataset/french_english_unprocessed_100/fr_0062.wav,4.32,il ne faut pas s' embarquer sans biscuit,We mustn't sail without biscuit.
remote_dataset/french_english_unprocessed_100/fr_0063.wav,3.53,l' eau va toujours à la rivière,the water always goes to the river
remote_dataset/french_english_unprocessed_100/fr_0064.wav,7.20,si tu veux donner par savoir  avec bon sens   que ton don ne passe ton pouvoir,If you want to give by knowing with common sense that your gift does not pass your power
remote_dataset/french_english_unprocessed_100/fr_0065.wav,3.07,qui dort  dîne,Sleeping at dinner
remote_dataset/french_english_unprocessed_100/fr_0066.wav,3.35,bonne épée  point querelleur,good sword dot quarreler
remote_dataset/french_english_unprocessed_100/fr_0067.wav,5.02,l' homme est son plus grand ennemi,man is his greatest enemy
remote_dataset/french_english_unprocessed_100/fr_0068.wav,3.77,de l' esprit comme quatre  et pas de sens comme un,of the mind as four and no sense as one
remote_dataset/french_english_unprocessed_100/fr_0069.wav,4.14,donner et retenir  ne vaut,donating and remembering is
remote_dataset/french_english_unprocessed_100/fr_0070.wav,6.59,où il y a un écu  il y a un diable  où il n' y en a pas  il y en a deux,where there's a shield there's a devil where there's no shield there's two
remote_dataset/french_english_unprocessed_100/fr_0071.wav,5.86,pour boire de l' eau et coucher dehors  on ne demande congé à personne,to drink water and to sleep outside is not asked leave to anyone
remote_dataset/french_english_unprocessed_100/fr_0072.wav,3.77,il n' est pire eau que celle qui dort,There's no water worse than the one who sleeps.
remote_dataset/french_english_unprocessed_100/fr_0073.wav,4.88,la parole s' enfuit  et l' écriture demeure,the word ran away and the scripture remained
remote_dataset/french_english_unprocessed_100/fr_0074.wav,3.44,qui donne mal  ne donne rien,who gives evil does not give anything
remote_dataset/french_english_unprocessed_100/fr_0075.wav,4.46,l' esprit qu' on veut avoir  gâte celui qu' on a,the spirit we want to spoil the one we have
remote_dataset/french_english_unprocessed_100/fr_0076.wav,7.11,mieux vaut souffrir son enfant morveux  que de lui arracher le nez,It's better to suffer his snotty child than to rip his nose off.
remote_dataset/french_english_unprocessed_100/fr_0077.wav,4.09,qui n' entend qu' une partie  n' instruit pas le procès,who hears only one party does not hear the trial
remote_dataset/french_english_unprocessed_100/fr_0078.wav,5.35,tout ce qui est doux à la bouche  n' est pas forcément bon pour l' estomac,all that is sweet in the mouth is not necessarily good for the stomach
remote_dataset/french_english_unprocessed_100/fr_0079.wav,3.77,mieux vaut donner que recevoir,Better to give than to receive
remote_dataset/french_english_unprocessed_100/fr_0080.wav,4.93,a bon emprunteur  bon éconduiseur,a good borrower good driver
remote_dataset/french_english_unprocessed_100/fr_0081.wav,4.88,qui peut  et n' empêche  pèche,which can and does not prevent fishing
remote_dataset/french_english_unprocessed_100/fr_0082.wav,5.58,renard qui dort la matinée  n' a guère la bouche emplumée,fox sleeping in the morning hardly has a full mouth
remote_dataset/french_english_unprocessed_100/fr_0083.wav,3.95,dans le doute  abstiens-toi,in doubt refrain from
remote_dataset/french_english_unprocessed_100/fr_0084.wav,4.18,a bon entendeur  demi mot,a good half-word hearer
remote_dataset/french_english_unprocessed_100/fr_0085.wav,5.11,a mal enfourner  on fait des pains cornus,We're making horny breads.
remote_dataset/french_english_unprocessed_100/fr_0086.wav,3.67,quand le paysan est enrichi  il n' a ni parent ni ami,when the peasant is enriched he has neither parent nor friend
remote_dataset/french_english_unprocessed_100/fr_0087.wav,4.37,les enfants vivent peu quand ils ont trop d' esprit,children live little when they have too much mind
remote_dataset/french_english_unprocessed_100/fr_0088.wav,5.07,la façon de donner vaut mieux que ce qu' on donne,the way to give is better than what we give
remote_dataset/french_english_unprocessed_100/fr_0089.wav,4.00,douces paroles n' écorchent pas la langue,sweet words don't scratch the tongue
remote_dataset/french_english_unprocessed_100/fr_0090.wav,4.56,soit muet en donnant  et parle en recevant,or mute in giving and speaking in receiving
remote_dataset/french_english_unprocessed_100/fr_0091.wav,3.63,tard donner  c' est refuser,late giving it is refusing
remote_dataset/french_english_unprocessed_100/fr_0092.wav,3.90,plus fait douceur que violence,softer than violence
remote_dataset/french_english_unprocessed_100/fr_0093.wav,4.00,donner un oeuf  pour avoir un boeuf,give an egg to get an ox
remote_dataset/french_english_unprocessed_100/fr_0094.wav,3.49,les enfants sont ce qu' on les fait,Children are what we do.
remote_dataset/french_english_unprocessed_100/fr_0095.wav,3.35,trop s' enquérir n' est pas bon,too much to ask is not good
remote_dataset/french_english_unprocessed_100/fr_0096.wav,5.11,a bon entendeur  il ne faut qu' une parole,a good listener you only need one word
remote_dataset/french_english_unprocessed_100/fr_0097.wav,4.14,mieux vaut être marteau qu' enclume,It's better to be a hammer than anvil.
remote_dataset/french_english_unprocessed_100/fr_0098.wav,4.37,qui donne tôt  donne deux fois,that gives early gives twice
remote_dataset/french_english_unprocessed_100/fr_0099.wav,4.23,qui ne doute de rien  ne se doute de rien,"who doesn't doubt anything, doesn't doubt anything."
